date,time_of_day,open_interest
2024-09-01,00:00:00,58533.3
2024-09-01,00:30:00,58603.4
2024-09-01,01:00:00,58493.0
2024-09-01,01:30:00,58521.1
2024-09-01,02:00:00,58039.2
2024-09-01,02:30:00,57936.4
2024-09-01,03:00:00,58108.7
2024-09-01,03:30:00,58170.9
2024-09-01,04:00:00,58139.0
2024-09-01,04:30:00,58294.8
2024-09-01,05:00:00,58380.8
2024-09-01,05:30:00,58251.2
2024-09-01,06:00:00,58203.6
2024-09-01,06:30:00,58293.3
2024-09-01,07:00:00,58073.9
2024-09-01,07:30:00,57986.1
2024-09-01,08:00:00,57927.8
2024-09-01,08:30:00,58020.8
2024-09-01,09:00:00,58166.9
2024-09-01,09:30:00,57988.5
2024-09-01,10:00:00,57991.7
2024-09-01,10:30:00,58004.2
2024-09-01,11:00:00,57693.3
2024-09-01,11:30:00,57980.3
2024-09-01,12:00:00,57957.2
2024-09-01,12:30:00,58246.0
2024-09-01,13:00:00,58213.7
2024-09-01,13:30:00,58126.4
2024-09-01,14:00:00,58075.4
2024-09-01,14:30:00,57993.8
2024-09-01,15:00:00,58383.0
2024-09-01,15:30:00,58548.0
2024-09-01,16:00:00,58554.9
2024-09-01,16:30:00,58410.2
2024-09-01,17:00:00,58552.5
2024-09-01,17:30:00,58468.3
2024-09-01,18:00:00,58270.8
2024-09-01,18:30:00,58232.6
2024-09-01,19:00:00,57681.7
2024-09-01,19:30:00,57405.7
2024-09-01,20:00:00,57365.6
2024-09-01,20:30:00,57365.7
2024-09-01,21:00:00,57405.2
2024-09-01,21:30:00,57246.6
2024-09-01,22:00:00,57443.7
2024-09-01,22:30:00,57343.5
2024-09-01,23:00:00,57578.4
2024-09-01,23:30:00,57362.2
2024-09-02,00:00:00,57657.0
2024-09-02,00:30:00,57581.9
2024-09-02,01:00:00,57657.1
2024-09-02,01:30:00,57492.3
2024-09-02,02:00:00,57576.4
2024-09-02,02:30:00,57803.7
2024-09-02,03:00:00,57767.6
2024-09-02,03:30:00,57760.6
2024-09-02,04:00:00,57575.0
2024-09-02,04:30:00,57470.7
2024-09-02,05:00:00,58020.8
2024-09-02,05:30:00,58146.4
2024-09-02,06:00:00,57944.2
2024-09-02,06:30:00,58307.7
2024-09-02,07:00:00,58414.1
2024-09-02,07:30:00,58446.6
2024-09-02,08:00:00,58521.3
2024-09-02,08:30:00,58406.9
2024-09-02,09:00:00,58345.9
2024-09-02,09:30:00,58336.9
2024-09-02,10:00:00,58322.0
2024-09-02,10:30:00,58215.1
